# HR Parsing Summary Log
# Generated: 2025-08-26 20:26:59
# Timestamp: 20250826_202659
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
HR - 075 - ZDRAVO MARIJO.chordpro | ZDRAVO MARIJO | 2 verses | C, E, F, a, d
HR - 076 - ZDRAVO, MARIJO (1984.).chordpro | ZDRAVO, MARIJO (1984.) | 2 verses | C, E, F
HR - 077 - MARIJO, MALA MARIJO.chordpro | MARIJO, MALA MARIJO | 5 verses | A, A7, D, FIS, G, fis
HR - 078 - DIŽEM OČI PREMA BRDIMA - Ps 120 (121).chordpro | DIŽEM OČI PREMA BRDIMA - Ps 120 (121) | 10 verses | C, D, G, h
HR - 079 - PJESMA OSLOBOÐENIH (Iz 12, 4 - 6).chordpro | PJESMA OSLOBOÐENIH (Iz 12, 4 - 6) | 7 verses | C, E, E7, F, G, a
HR - 080 - AKO DANAS ČUJETE NJEGOV GLAS - Ps 94 (95).chordpro | AKO DANAS ČUJETE NJEGOV GLAS - Ps 94 (95) | 9 verses | E, GIS, H7, cis, fis
HR - 081 - DOÐITE, KLIČIMO GOSPODINU - Ps 94 (95).chordpro | DOÐITE, KLIČIMO GOSPODINU - Ps 94 (95) | 7 verses | A, A7, D, G, e
HR - 082 - DAJENU'.chordpro | DAJENU' | 18 verses | C, D, H7, a, e
HR - 083 - PASHALNOJ ŽRTVI.chordpro | PASHALNOJ  ŽRTVI | 5 verses | A7, E, F, a, d
HR - 084 - PASHALNI HIMAN.chordpro | PASHALNI HIMAN | 4 verses | G7, c, f
HR - 085 - HIMAN DOŠAŠĆA.chordpro | HIMAN DOŠAŠĆA | 2 verses | E, a, d
HR - 086 - URI, URI, URA.chordpro | URI, URI, URA | 10 verses | H7, e
HR - 087 - VEĆ DOLAZI MOJ BOG.chordpro | VEĆ DOLAZI MOJ BOG | 9 verses | H7, e
HR - 088 - AMEN - AMEN - AMEN (Otk 7, 12 - 14).chordpro | AMEN - AMEN - AMEN  (Otk 7, 12 - 14) * | 7 verses | A, D, E, cis, fis
HR - 089 - AKO GOSPODIN KUĆE NE GRADI - Ps 126 (127).chordpro | AKO GOSPODIN KUĆE NE GRADI - Ps 126 (127) | 8 verses | A, D, FIS, G, h
HR - 090 - KUŠAJTE I VIDITE - Ps 33 (34).chordpro | KUŠAJTE I VIDITE - Ps 33 (34) | 6 verses | C, C7, H7, a, e
HR - 091 - IZ LJUBAVI PREMA BRAĆI SVOJOJ - PS 121 (122).chordpro | IZ LJUBAVI PREMA BRAĆI SVOJOJ - PS 121 (122) | 10 verses | H7, a, e
HR - 092 - UZDAH SE, UZDAH SE U GOSPODINA - Ps 39 (40).chordpro | UZDAH SE, UZDAH SE U GOSPODINA - Ps 39 (40) | 13 verses | E, F, a, e
HR - 093 - JA HOĆU PJEVATI - Ps 56 (57).chordpro | JA HOĆU PJEVATI - Ps 56 (57) | 13 verses | A, D, G, e, fis
HR - 094 - ZAŠTO SE NARODI ROTE - Ps 2.chordpro | ZAŠTO SE NARODI ROTE - Ps 2 | 6 verses | H7, a, e
HR - 095 - KAO ŠTO KOŠUTA ŽUDI - Ps 41 - 42 (42 - 43).chordpro | KAO ŠTO KOŠUTA ŽUDI - Ps 41 - 42 (42 - 43) | 5 verses | A, CIS, E, GIS, H7, cis, fis
HR - 096 - O KLIČI GOSPODINU - Ps 99 (100).chordpro | O KLIČI GOSPODINU - Ps 99 (100) | 9 verses | A, G, H7, a, e
HR - 097 - O KLIČITE RADOSNO (Iz 12,1 ss).chordpro | O KLIČITE RADOSNO (Iz 12,1 ss) | 7 verses | E, F, G, a
HR - 098 - KAD SE PROBUDIM NAUŽIT ĆU SE TVOGA LICA, GOSPODINE - Ps 16 (17).chordpro | KAD SE PROBUDIM NAUŽIT ĆU SE TVOGA LICA, GOSPODINE * - Ps 16 (17) | 9 verses | G, GIS, c, f
HR - 099 - PJESMA DJECE U USKRSNOM BDIJENJU (Hebrejska melodija).chordpro | PJESMA DJECE U USKRSNOM BDIJENJU (Hebrejska melodija) | 22 verses | E, a, d
HR - 100 - NEĆU UMRIJETI - Ps 117 (118) ().chordpro | NEĆU UMRIJETI - Ps 117 (118) (*) | 71 verses | C, G, H7, e
HR - 101 - RECITE PREPLAŠENIM SRCIMA (Iz 35, 4 - 10).chordpro | RECITE PREPLAŠENIM SRCIMA (Iz 35, 4 - 10) | 8 verses | C, E, F, a, d, e
HR - 102 - O BOŽE, TI SI BOG MOJ - Ps 62 (63).chordpro | O BOŽE, TI SI BOG MOJ - Ps 62 (63) | 9 verses | E, F, a, d
HR - 103 - BOG SE DIŽE S HVALOSPJEVOM - Ps 46 (47).chordpro | BOG SE DIŽE S HVALOSPJEVOM - Ps 46 (47) | 5 verses | a, d
HR - 104 - NAROD KOJI JE U TMINI HODIO (Iz 9, 1 - 5).chordpro | NAROD KOJI JE U TMINI HODIO (Iz 9, 1 - 5) | 4 verses | C, F, G, GIS, a
HR - 105 - DAJ HVALU GOSPODINU - Ps 145 (146).chordpro | DAJ HVALU GOSPODINU - Ps 145 (146) | 9 verses | C, D, G, H7, e, h
HR - 106 - BILEAMOVA PJESMA (Br 23, 7 - 24).chordpro | BILEAMOVA PJESMA (Br 23, 7 - 24) | 8 verses | D, G, Gh, e, h
HR - 107 - PRED LICEM ANĐELA - Ps 137 (138).chordpro | PRED LICEM ANĐELA - Ps 137 (138) | 9 verses | C, E, F, G
HR - 108 - KAD IZRAEL BIJAŠE DIJETE (Hoš 11, 1 - 11).chordpro | KAD IZRAEL BIJAŠE DIJETE (Hoš 11, 1 - 11) | 10 verses | B, C, F, d, g
HR - 109 - TO JE PASHA GOSPODINA.chordpro | TO JE PASHA GOSPODINA | 9 verses | E, G, a
HR - 110 - SVE IMA SVOJE DOBA (Prop 3, 1 - 15).chordpro | SVE IMA SVOJE DOBA (Prop 3, 1 - 15) | 8 verses | C, E7, F, a, d, e
HR - 111 - BLAGOSLIVLJAJ, DUŠO MOJA, GOSPODINA (Hvalospjev Tobijin - Tob 13).chordpro | BLAGOSLIVLJAJ, DUŠO MOJA, GOSPODINA (Hvalospjev Tobijin - Tob 13) * | 8 verses | G, a
HR - 112 - KAKO SU MILI STANOVI TVOJI - Ps 83 (84).chordpro | KAKO SU MILI STANOVI TVOJI - Ps 83 (84) | 5 verses | C, F, G, a, e
HR - 113 - DOLAZI GOSPODIN U SLAVU ZAODJEVEN.chordpro | DOLAZI GOSPODIN U SLAVU ZAODJEVEN | 7 verses | d, g
HR - 114 - DAN ODMORA.chordpro | DAN ODMORA | 8 verses | a, e
HR - 115 - UTJEŠITE NAROD MOJ (Iz 40,1-11).chordpro | UTJEŠITE NAROD MOJ (Iz 40,1-11) | 6 verses | A, G, H7, a, e
HR - 116 - BIJAHU DVA ANĐELA.chordpro | BIJAHU DVA ANĐELA | 4 verses | E, a, d
HR - 117 - LJUBIM GOSPODINA - Ps 114 - 115 (116).chordpro | LJUBIM GOSPODINA - Ps 114 - 115 (116) | 4 verses | C, D, D7, G, a, h
HR - 118 - DOĐITE K MENI, SVI VI (Mt 11, 28 - 30).chordpro | DOĐITE K MENI, SVI VI (Mt 11, 28 - 30) | 2 verses | C, E, F, a
HR - 119 - TEBE, GOSPODINE, TREBA SLAVITI NA SIONU - Ps 64 (65).chordpro | TEBE, GOSPODINE, TREBA SLAVITI NA SIONU - Ps 64 (65) | 6 verses | A7, B, d, g
HR - 120 - AKO SE GOSPODINU JA UTEKOH - Ps 10 (11).chordpro | AKO SE GOSPODINU JA UTEKOH - Ps 10 (11) | 3 verses | C, C7, G, H7, a, e
HR - 121 - GOSPODIN NAVIJESTI JEDNU VIJEST - Ps 67 (68).chordpro | GOSPODIN NAVIJESTI JEDNU VIJEST - Ps 67 (68) | 5 verses | A, G, a, e, h
HR - 122 - BLAGOSLIVLJAJTE GOSPODINA - Ps 133 (134).chordpro | BLAGOSLIVLJAJTE GOSPODINA - Ps 133 (134) | 4 verses | A, B, d
HR - 123 - KĆERI JERUZALEMSKE (Lk 23, 28. 31. 34. 43. 46).chordpro | KĆERI JERUZALEMSKE (Lk 23, 28. 31. 34. 43. 46) | 8 verses | E, F, G, a
HR - 124 - TEBI SAM OBJAVIO SVOJ GRIJEH - Ps 31 (32).chordpro | TEBI SAM OBJAVIO SVOJ GRIJEH - Ps 31 (32) | 7 verses | G, a, d
HR - 125 - MARIJA, MAJKA CRKVE (Iv 19,26-34).chordpro | MARIJA, MAJKA CRKVE (Iv 19,26-34) | 6 verses | E, E7, F, G, G7, a, d
HR - 126 - STABAT MATER.chordpro | STABAT MATER | 14 verses | A7, B7, C7, d
HR - 127 - PRIJEKORI GOSPODINOVI - PUČE MOJ.chordpro | PRIJEKORI GOSPODINOVI - PUČE MOJ | 14 verses | H7, a, e
HR - 128 - O GOSPODINE, BOŽE NAŠ - Ps 8.chordpro | O GOSPODINE, BOŽE NAŠ - Ps 8 | 5 verses | C, G, H7, a, e
HR - 129 - BLAGOSLOVLJENA SI TI, MARIJO (Lk 1, 42 - 44).chordpro | BLAGOSLOVLJENA SI TI, MARIJO (Lk 1, 42 - 44) | 4 verses | E, F, G, a, d
HR - 130 - ZDRAVO, KRALJICE NEBESKA.chordpro | ZDRAVO, KRALJICE NEBESKA | 4 verses | E, E7, F, G, a, d
HR - 131 - DJEVICA DIVOTE.chordpro | DJEVICA DIVOTE | 7 verses | FIS, G, e, h
HR - 132 - MARIJO, KUĆO BLAGOSLOVA.chordpro | MARIJO, KUĆO BLAGOSLOVA | 5 verses | E, F, G, a, d
HR - 133 - BLAGOSLIVLJAT ĆU GOSPODINA U SVAKO DOBA (1986.) - Ps 33 (34).chordpro | BLAGOSLIVLJAT ĆU GOSPODINA U SVAKO DOBA (1986.) - Ps 33 (34) | 10 verses | A, B, C, d
HR - 134 - ŽETVA NARODA (Iv 4, 31 - 38).chordpro | ŽETVA NARODA (Iv 4, 31 - 38) | 9 verses | A, FIS, G, e, h
HR - 135 - GOVORI GOSPODIN GOSPODINU MOJEMU - Ps 109 (110).chordpro | GOVORI GOSPODIN GOSPODINU MOJEMU - Ps 109 (110) | 6 verses | A, E, GIS, H, H7, cis
HR - 136 - BLAŽEN ČOVJEK - Ps 1.chordpro | BLAŽEN ČOVJEK - Ps 1 | 8 verses | E, F, G, a
HR - 137 - TI SI NAJLJEPŠI - Ps 44 (45).chordpro | TI SI NAJLJEPŠI - Ps 44 (45) | 8 verses | A, E, GIS, H, cis, fis
HR - 138 - SREĆA ČOVJEKU (1990.) - Ps 127 (128).chordpro | SREĆA ČOVJEKU (1990.) - Ps 127 (128) | 5 verses | E, F, a, d, e
HR - 139 - BOG NEK USTANE - Ps 67 (68) (rr 2. 4 - 7).chordpro | BOG NEK USTANE - Ps 67 (68) (rr 2. 4 - 7) | 3 verses | E
HR - 140 - POĐIMO VEĆ PASTIRI.chordpro | POĐIMO VEĆ PASTIRI | 8 verses | H7, a, e
